,num-shots,backend,state,noisescalefactor,target,expectation_value,CZ_gates,CZ_depth,fidelity,seed
120,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.18848166,111,73,0.961,4080891
121,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22668962,103,65,0.961,1724181
122,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20390221,115,75,0.961,2364402
123,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22574892,107,65,0.961,7988611
124,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.24663155,107,57,0.961,4233229
125,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22245545,105,65,0.961,4773885
126,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22395601,113,75,0.961,4051103
127,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.19366898,105,65,0.961,5256903
128,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.24835418,103,57,0.961,7628757
129,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.23795343,99,63,0.961,3553620
130,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.13970517,117,73,0.961,7571682
131,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22776018,111,69,0.961,50382
132,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.17334695,111,69,0.961,4474392
133,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.227289,111,65,0.961,943998
134,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.24086747,113,73,0.961,8856884
135,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.19963351,109,69,0.961,594171
136,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.21139422,103,67,0.961,2989212
137,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.2540622,101,63,0.961,6022074
138,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.15658748,115,77,0.961,3523651
139,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22268981,109,69,0.961,9353266
140,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.16074292,111,71,0.961,9290779
141,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.19201241,111,69,0.961,624035
142,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.27349785,99,61,0.961,7569438
143,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.2195275,103,69,0.961,7371598
144,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22912874,101,65,0.961,2899205
145,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.28307778,99,59,0.961,6573195
146,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.15597322,115,79,0.961,2691451
147,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.18798936,107,67,0.961,3156856
148,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22893241,95,63,0.961,9552323
149,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.11308496,115,69,0.961,6576452
150,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.18975796,123,79,0.961,5157380
151,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22668209,119,71,0.961,8117112
152,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.17763905,127,85,0.961,4160000
153,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20806352,99,63,0.961,3647551
154,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.21566426,111,75,0.961,11675
155,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.23956863,109,73,0.961,5216690
156,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20625069,111,75,0.961,1359056
157,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.21877333,105,63,0.961,9291093
158,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.24398465,95,61,0.961,1325531
159,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22464657,111,69,0.961,5205820
160,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.19580068,97,55,0.961,9514361
161,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.23878963,99,63,0.961,2083819
162,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.17766965,113,77,0.961,5790390
163,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20953283,97,61,0.961,2418344
164,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.21052954,105,67,0.961,8203175
165,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.24795548,103,71,0.961,4105448
166,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.25044657,99,61,0.961,6197809
167,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.15255076,119,73,0.961,4230899
168,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.16859169,115,69,0.961,5668634
169,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22152842,111,61,0.961,7629888
170,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.23978797,109,71,0.961,9177977
171,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.2172778,113,67,0.961,8489169
172,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20662094,107,67,0.961,6640675
173,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20073742,115,77,0.961,6378778
174,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.2015158,105,61,0.961,7306993
175,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.23625379,107,67,0.961,7451077
176,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.19412015,109,71,0.961,4657992
177,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22546389,109,69,0.961,804823
178,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20733936,109,67,0.961,1869147
179,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22181492,103,65,0.961,9692966
180,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.2508843,105,61,0.961,428709
181,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.17648038,117,71,0.961,2708185
182,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.2233383,111,71,0.961,5521103
183,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.18373424,107,69,0.961,9573967
184,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.21919373,107,65,0.961,6366248
185,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20260999,113,69,0.961,8242355
186,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.189567,109,73,0.961,180977
187,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.25136092,105,67,0.961,8503225
188,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.21330568,93,57,0.961,5942036
189,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.21120806,109,67,0.961,8987246
190,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.2008718,107,65,0.961,5272493
191,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.22661543,107,65,0.961,6828099
192,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.21835871,113,75,0.961,854211
193,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.181756,111,73,0.961,8913437
194,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.24010859,103,67,0.961,5681474
195,1000,1,300,1.333,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20599759,105,71,0.961,8183832
196,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.11893601,143,93,0.961,9330507
197,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.15933989,137,87,0.961,3948052
198,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.11805513,145,91,0.961,6917503
199,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.12905449,143,93,0.961,5788999
200,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.14574843,127,73,0.961,7696551
201,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.09030024,141,87,0.961,9178199
202,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.11791233,137,87,0.961,287225
203,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.08937134,141,101,0.961,4822775
204,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.10566062,155,97,0.961,8373446
205,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.1121594,133,79,0.961,4437100
206,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.10993539,127,83,0.961,8699991
207,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.09474003,147,97,0.961,4521312
208,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.15668455,123,77,0.961,1773450
209,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.14885736,137,85,0.961,1210366
210,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.14781598,131,77,0.961,6778761
211,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.11938296,143,87,0.961,1626503
212,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.15560595,127,83,0.961,6767530
213,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.15428352,127,77,0.961,1252027
214,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.09974352,135,91,0.961,6681123
215,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.20745881,127,81,0.961,9409593
216,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.09642147,151,93,0.961,9184704
217,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.16902061,133,89,0.961,4304036
218,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.10507942,135,89,0.961,8745637
219,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.08383527,143,89,0.961,9207070
220,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.13525902,133,83,0.961,1939104
221,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.14810842,121,77,0.961,5530118
222,1000,1,300,1.667,ibm_fez_2024-11-10T10:40:31+00:00.target.pkl,-6.1517143,129,77,0.961,514018
